rank,feature,mean_abs_shap_value
502,Route Stl Mco,0.0002073719767137138
503,Route Mke Rsw,0.00020625669499427026
504,Route Iad Lax,0.0002058935719228987
505,Route Elp Ord,0.00020537429053345312
506,Route Ewr Atl,0.00020510069841697218
507,Origin State Abr Mt,0.00020447236571737452
508,Route Ewr Syr,0.000203039225900812
509,Route San Las,0.00020227636567432465
510,Route Atl Cid,0.00020206283813067695
511,Route Dca Stl,0.0002010941165544481
512,Route Den Dca,0.00019968550701677092
513,Route Pvd Mco,0.0001993509868276942
514,Route Sdf Ord,0.00019915412460137308
515,Route Bos Tpa,0.00019853714960420046
516,Route Phx Hou,0.00019696651405263005
517,Route Atl Jax,0.00019692661013453363
518,Route Ord Lga,0.00019621202504706633
519,Route Atl Pbi,0.0001959180384354752
520,Route Den Tul,0.00019547162101818074
521,Route Bos Den,0.00019500493026915528
522,Route Lga Atl,0.00019436348613216775
523,Route Fll Bna,0.00019242471403275546
524,Route Clt Jax,0.000191861465721745
525,Route Fll Bos,0.00019177714547801894
526,Route Chs Dfw,0.00019103932136555436
527,Route Clt Sgf,0.0001909158370489003
528,Route Sbn Msp,0.00019057694411062307
529,Route Ord Lit,0.00019023960712490428
530,Dest State Abr In,0.0001896927493926697
531,Route Lax Phx,0.00018962771196595737
532,Route Dfw Abi,0.00018961068036719162
533,Route Ewr Den,0.00018872014993317023
534,Route Buf Ord,0.00018833273119108285
535,Route Sea Phx,0.00018722064244394528
536,Route Bna Sav,0.00018588925671951368
537,Route Atl Pit,0.00018574864184005003
538,Route Msp Sfo,0.00018518547295775131
539,Route Ewr Msy,0.00018482627095388834
540,Route Atl Ewr,0.0001813157503418746
541,Route Bwi Msy,0.0001807920926681492
542,Route Den Jfk,0.00018075173167275308
543,Route Aus Jfk,0.0001799504528800988
544,Route Mia Phl,0.0001799232886181211
545,Route Mco Bdl,0.00017981610843920723
546,Route Ord Sfo,0.00017961042258684718
547,Route Tpa Cle,0.00017803863754230537
548,Route Aus Atl,0.0001780021073660375
549,Route Lax Boi,0.00017749323056618496
550,Route Rsw Msp,0.00017722127264837185
551,Route Mco Dtw,0.00017629848702514731
552,Route Jax Dfw,0.00017607210827269644
553,Route Dfw Bur,0.0001750652372330718
554,Route Mia Iah,0.00017342624341372675
555,Route Msn Lga,0.0001730387584832774
556,Route Atl Bhm,0.00017208897679381872
557,Route Atl Bos,0.00017182649300471198
558,Route Hpn Clt,0.0001715548200495632
559,Route Dlh Msp,0.00017106443538282245
560,Route Jax Bwi,0.00017103047660657397
561,Route Hnl Ogg,0.00017016752767186943
562,Route Avl Pie,0.00017002151400888994
563,Route Iad Bna,0.00016993087832434936
564,Route Clt Den,0.00016935507510229856
565,Route Okc Slc,0.00016924247085254638
566,Route Rdm Sea,0.00016916601480003267
567,Route Den Aus,0.000169120172247977
568,Route Clt Sav,0.00016911942162282624
569,Route Mco Ewr,0.0001680607426703611
570,Route Tpa Dfw,0.00016794240464221134
571,Route Boi Lax,0.00016788735316535175
572,Route Atl Dca,0.00016755415143287632
573,Route Pdx Slc,0.00016736407743730218
574,Origin State Abr Vt,0.00016733526181538497
575,Route Ewr Sfo,0.00016712137345567042
576,Route Ewr Mia,0.00016668474064879724
577,Route Mco Sju,0.00016640738203497942
578,Dest State Abr Wi,0.0001647894634685265
579,Route Ord Far,0.00016452597085067226
580,Route Day Clt,0.00016393073799467284
581,Route Rdu Clt,0.00016313792864213522
582,Route San Mdw,0.00016226254528309536
583,Dest State Abr Nd,0.00016121742626190434
584,Route Bdl Ord,0.00016094852659200736
585,Route Ewr Clt,0.00016090994161534512
586,Route Hrl Dfw,0.0001605736337620408
587,Route Sea Den,0.00015911044087621638
588,Route Msp Msy,0.0001589671918835917
589,Route Pdx Smf,0.00015852344751048718
590,Route Jfk Dfw,0.00015839964469072315
591,Route Dfw Iah,0.00015835122875843528
592,Route Ord Xna,0.00015816044558205334
593,Route Fll Ord,0.0001580028957258389
594,Route Dtw San,0.00015750055062190623
595,Route Tpa Bwi,0.00015682876656577925
596,Route Dal Tpa,0.0001565682534197214
597,Route Mco Grr,0.00015634671486265382
598,Route Las Lax,0.00015633815537432032
599,Route Ord Ind,0.00015616206578833005
600,Route Rsw Bwi,0.0001555085610940035
601,Route Sat Mco,0.00015514232999605193
602,Route Cle Lax,0.00015498413107445865
603,Route Dfw Ase,0.00015420846719788379
604,Route Ord Cvg,0.00015392617400654905
605,Route Phx Mco,0.000153653037029262
606,Route Den Abq,0.00015314602012349226
